entry_time,exit_time,direction,rzy_number,entry,stop,target,exit,exit_reason,r_multiple,pnl_usd
2024-07-09 12:00:00,2024-07-09 16:00:00,long,1,4294.94,4280.95,4347.42,4280.95,stop,-1.0,-703.53
2024-07-18 12:00:00,2024-07-19 04:00:00,short,1,4235.0,4250.8,4176.42,4176.42,target,3.71,2925.03
2024-07-31 16:00:00,2024-07-31 20:00:00,long,1,4239.3,4222.71,4299.76,4222.71,stop,-1.0,-833.82
2024-08-01 04:00:00,2024-08-02 00:00:00,short,1,4230.93,4247.33,4194.28,4194.28,target,2.23,1828.38
2024-08-16 12:00:00,2024-08-17 16:00:00,short,1,4194.49,4208.88,4169.03,4208.88,stop,-1.0,-723.12
2024-08-18 12:00:00,2024-08-20 04:00:00,short,1,4203.78,4217.31,4157.0,4217.31,stop,-1.0,-680.6
2024-08-19 08:00:00,2024-08-20 04:00:00,short,1,4201.17,4216.0,4156.71,4216.0,stop,-1.0,-745.2
2024-08-29 00:00:00,2024-08-29 04:00:00,long,1,4293.48,4281.26,4323.07,4281.26,stop,-1.0,-615.03
2024-09-02 00:00:00,2024-09-02 16:00:00,long,1,4259.86,4246.41,4287.11,4246.41,stop,-1.0,-676.81
2024-09-06 16:00:00,2024-09-07 08:00:00,short,1,4210.93,4224.46,4175.76,4175.76,target,2.6,1754.11
2024-09-08 16:00:00,2024-09-09 04:00:00,short,2,4157.5,4170.24,4127.51,4170.24,stop,-1.0,-641.1
2024-09-11 16:00:00,2024-09-12 16:00:00,short,2,4155.42,4171.75,4122.35,4122.35,target,2.02,1649.19
2024-09-26 16:00:00,2024-09-26 20:00:00,long,2,4052.5,4038.02,4084.79,4038.02,stop,-1.0,-727.84
2024-10-01 12:00:00,2024-10-02 00:00:00,long,1,4038.2,4026.6,4062.85,4026.6,stop,-1.0,-583.76
2024-10-03 08:00:00,2024-10-03 16:00:00,short,1,4010.74,4020.87,3987.21,3987.21,target,2.32,1172.93
2024-10-04 16:00:00,2024-10-05 20:00:00,short,2,3992.83,4005.75,3958.65,3958.65,target,2.65,1705.1
2024-10-11 08:00:00,2024-10-15 08:00:00,short,2,3925.33,3939.27,3885.5,3885.5,target,2.86,1987.38
2024-10-29 08:00:00,2024-10-30 12:00:00,long,1,3875.16,3861.25,3896.55,3861.25,stop,-1.0,-699.36
2024-11-07 00:00:00,2024-11-08 00:00:00,short,1,3827.92,3848.8,3782.73,3782.73,target,2.16,2255.3
2024-11-10 12:00:00,2024-11-11 04:00:00,short,2,3772.64,3787.34,3743.34,3743.34,target,1.99,1461.1
2024-11-17 20:00:00,2024-11-19 04:00:00,short,1,3608.8,3624.77,3578.22,3578.22,target,1.91,1524.74
